id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
24050,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Locomotive Men Printed Blue T-shirt
13967,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Ed Hardy Men Printed Red Tshirts
4256,Men,Apparel,Topwear,Tshirts,Grey Melange,Summer,2011.0,Casual,Inkfruit Men Grey Melange Printed T-shirt
50194,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Black T-shirt
58372,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,Locomotive Men Beige T-shirt
4361,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Free Authority Men's Melting Times Blue T-shirt
34041,Boys,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Check Red Shirt
33249,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Arrow Men Blue Striped Shirt
12180,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Basics Men White Slim Fit Checked Shirt
7053,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,s.Oliver Men Striped Dark Blue Shirt
12003,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Formal,Mark Taylor Men Grey Striped Shirt
9256,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirt
15259,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,ADIDAS Originals Women Top Ten low Sleek White Casual Shoes
25420,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2013.0,Casual,Nike Men Lite Force Black & White Shoes
54739,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Vans Men Grey Del Norte Canvas Shoes
6497,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men's Leather Brown Shoe
